2 17 9 13 703 78 690 68 701 76 10 5 36 7390 146 11874 216 8302 145 6	0
60 1 43 53 3068 174 2546 163 3038 167 4 18 22 220 39 215 37 23 129 16	1
21 17 43 53 13384 242 11576 230 13341 240 67 34 36 32 493 40 485 23 451 27	0
12 1 9 14 2978 54 3265 62 2825 49 4 5 11 945 30 1125 52 681 15 6	0
2 124 61 110 109 104 107 101 93 88 67 593 303 606 511 569 492 598 514 27	0
426 165 7 273 15999 297 15720 300 16898 324 8 55 33 11571 130 1990 64 7873 111 3	1
2 120 61 110 109 104 107 101 93 88 10 335 358 1218 422 2216 429 7155 129 3	0
2 41 342 282 513 186 516 193 519 195 4 18 22 220 39 215 37 733 26 3	0
2 71 46 57 2699 56 50 28 15381 284 10 18 22 440 39 438 37 973 205 16	1
2 1 9 14 1436 374 1852 410 1361 255 29 34 36 32 468 40 472 23 491 85	0
2 71 673 489 6205 154 486 383 14805 179 44 235 86 2291 89 103 102 2822 111 247	1
42 1 177 191 3233 306 2812 271 3229 304 10 221 161 32 243 40 257 23 264 27	0
12 1 9 13 2402 78 2191 68 2369 76 67 5 11 3643 59 4324 64 1790 38 6	0
2 71 46 57 25 337 31 336 724 112 4 55 33 2311 30 72 51 10490 373 3	0
426 120 7 282 618 113 619 128 636 134 8 55 33 1308 133 2446 228 1972 205 3	0
42 19 185 57 13476 54 559 28 13865 49 44 55 33 26992 59 25492 64 4541 111 58	1
21 1 192 170 722 119 700 123 668 112 4 314 267 927 160 772 143 684 132 3	0
42 20 9 14 1601 471 2410 523 1460 447 4 286 406 5455 70 2296 143 1855 26 16	0
2 17 9 13 795 380 744 392 802 375 344 314 267 32 160 40 143 23 132 455	0
21 1 65 628 1839 425 1236 383 1185 412 10 5 11 842 130 1031 219 803 111 6	0
12 20 43 53 26304 242 25489 230 26736 240 4 18 22 1021 39 1014 37 8825 38 3	1
12 1 7 14 11298 169 11430 244 13936 179 8 90 92 150 95 149 94 148 97 58	0
239 17 9 14 25 301 31 348 24 274 4 5 36 4376 160 4384 143 4826 132 6	0
42 1 9 13 10594 242 10051 230 10496 240 4 5 11 4216 245 6066 364 3070 162 6	0
2 19 7 105 1438 113 1656 128 1675 134 8 18 266 253 252 103 102 1455 38 16	1
141 135 7 91 450 433 453 439 562 546 8 151 33 29586 407 20384 325 2624 126 3	1
12 1 9 13 1080 78 1004 68 1094 76 10 34 36 32 259 40 311 23 172 27	0
2 19 424 650 2727 384 315 118 2882 386 67 47 359 1092 98 1091 96 1076 106 16	0
2 19 7 105 12057 158 13130 200 12844 181 8 18 22 480 39 481 37 2158 26 16	1
42 1 43 53 7125 242 6772 230 6840 240 29 286 322 4607 483 705 254 22862 331 16	1
60 1 9 14 20158 171 20536 214 20209 173 10 5 11 1165 30 1615 52 834 15 6	0
21 1 43 53 3015 78 2853 68 3090 76 4 5 11 1009 30 1249 52 775 15 6	0
83 20 9 13 4523 54 6071 62 4407 49 4 18 22 220 39 215 37 6510 26 3	0
310 17 9 13 4028 78 3575 68 4032 76 4 47 117 108 98 100 96 114 106 3	0
42 1 7 14 817 169 1099 244 814 179 8 90 92 150 95 149 94 148 97 3	0
2 1 122 131 338 82 328 80 5382 208 44 18 22 220 39 215 37 3527 111 16	0
42 1 7 14 3208 56 4186 81 2652 45 8 18 22 399 39 395 37 770 557 3	1
147 71 365 91 458 168 315 118 463 198 10 5 251 902 265 1052 279 1215 307 6	1
21 17 7 13 12840 84 16941 164 12211 77 8 18 22 249 39 248 37 23 126 3	1
